mot,cas
budynek,Nom
cały,Nom
całą,Ins
curie,Nom
czas,Nom
czwarty,Nom
dobra,Nom
dobrą,Ins
domek,Nom
juliusza,Nom
kolejowej,Gen
lewej,Gen
marii,Gen
najbliższe,Nom
niską,Ins
numer,Nom
pan,Nom
pasy,Gen
pierwszym,Ins
prawo,Nom
rozpozna,Nom
sklep,Nom
sklepem,Ins
skrzyżowanie,Nom
skrzyżowaniu,Dat
skłodowskiej,Gen
stacji,Gen
stronie,Nom
szpitalu,Gen
słowackiego,Ins
teatr,Nom
ulica,Nom
ulicy,Gen
ulicą,Ins
ulicę,Acc
zielony,Nom
