mot,cas
budynek,Nom
cały,Nom
całą,Ins
curie,Nom
czas,Nom
czwarty,Nom
dobra,Nom
dobrą,Ins
domek,Nom
juliusza,Acc
kolejowej,Loc
lewej,Loc
marii,Gen
najbliższe,Nom
niską,Ins
numer,Nom
pan,Nom
pasy,Nom
pierwszym,Ins
prawo,
rozpozna,
sklep,Nom
sklepem,Ins
skrzyżowanie,Nom
skrzyżowaniu,Loc
skłodowskiej,Gen
stacji,Loc
stronie,Loc
szpitalu,Loc
słowackiego,Gen
teatr,Nom
ulica,Nom
ulicy,Loc
ulicą,Ins
ulicę,Acc
zielony,Nom
